iter	Passed	Remaining
1142	6240	21057
1143	6245	21049
1144	6247	21032
1145	6248	21014
1146	6250	20996
1147	6252	20979
1148	6255	20965
1149	6262	20965
1150	6265	20952
1151	6268	20937
1152	6270	20919
1153	6273	20907
1154	6277	20896
1155	6278	20878
1156	6280	20861
1157	6282	20844
1158	6284	20826
1159	6286	20809
1160	6290	20801
1161	6293	20785
1162	6294	20768
1163	6297	20754
1164	6299	20737
1165	6301	20720
1166	6304	20708
1167	6308	20696
1168	6310	20679
1169	6312	20662
1170	6313	20645
1171	6315	20627
1172	6317	20610
1173	6320	20598
1174	6324	20587
1175	6327	20573
1176	6330	20563
1177	6335	20555
1178	6340	20550
1179	6344	20539
1180	6348	20529
1181	6352	20520
1182	6362	20528
1183	6366	20517
1184	6688	21533
1185	6793	21847
1186	6899	22162
1187	6912	22178
1188	6915	22166
1189	6922	22162
1190	6926	22153
1191	6931	22144
1192	6939	22143
1193	6944	22136
1194	6949	22128
1195	6956	22124
1196	6961	22117
1197	6966	22107
1198	6973	22106
1199	6979	22101
1200	6987	22104
1201	6992	22092
1202	6998	22088
1203	7007	22093
1204	7012	22086
1205	7018	22079
1206	7023	22072
1207	7029	22065
1208	7036	22064
1209	7041	22056
1210	7051	22061
1211	7056	22053
1212	7061	22045
1213	7068	22042
1214	7076	22044
1215	7081	22037
1216	7088	22033
1217	7093	22026
1218	7100	22023
1219	7105	22016
1220	7111	22011
1221	7119	22009
1222	7124	22002
1223	7129	21994
1224	7135	21987
1225	7136	21968
1226	7138	21951
1227	7142	21937
1228	7143	21919
1229	7146	21904
1230	7150	21894
1231	7152	21875
1232	7154	21858
1233	7156	21840
1234	7158	21822
1235	7160	21805
1236	7163	21793
1237	7169	21787
1238	7172	21772
1239	7174	21755
1240	7176	21737
1241	7178	21721
1242	7183	21711
1243	7185	21694
1244	7187	21677
1245	7189	21661
1246	7191	21643
1247	7193	21627
1248	7198	21617
1249	7199	21599
1250	7201	21582
1251	7203	21565
1252	7205	21548
1253	7207	21531
1254	7209	21514
1255	7213	21503
1256	7216	21487
1257	7218	21471
1258	7220	21454
1259	7221	21436
1260	7223	21419
1261	7226	21403
1262	7231	21396
1263	7232	21378
1264	7234	21361
1265	7236	21344
1266	7238	21327
1267	7240	21309
1268	7246	21304
1269	7249	21291
1270	7251	21274
1271	7253	21258
1272	7255	21241
1273	7256	21224
1274	7261	21215
1275	7267	21209
1276	7269	21193
1277	7271	21177
1278	7273	21162
1279	7278	21152
1280	7280	21136
1281	7282	21120
1282	7284	21103
1283	7286	21087
1284	7288	21070
1285	7291	21057
1286	7294	21044
1287	7296	21027
1288	7297	21009
1289	7299	20993
1290	7301	20975
1291	7302	20958
1292	7304	20941
1293	7308	20932
1294	7311	20917
1295	7314	20904
1296	7317	20892
1297	7321	20880
1298	7327	20876
1299	7331	20865
1300	7335	20855
1301	7341	20850
1302	7346	20844
1303	7350	20833
1304	7354	20822
1305	7362	20824
1306	7365	20812
1307	7367	20795
1308	7369	20779
1309	7373	20770
1310	7377	20760
1311	7379	20744
1312	7381	20728
1313	7383	20712
1314	7386	20698
1315	7390	20688
1316	7392	20672
1317	7394	20656
1318	7396	20640
1319	7398	20625
1320	7400	20609
1321	7402	20594
1322	7406	20584
1323	7408	20568
1324	7409	20551
1325	7411	20535
1326	7413	20519
1327	7415	20503
1328	7416	20487
1329	7419	20473
1330	7423	20463
1331	7425	20448
1332	7427	20433
1333	7429	20417
1334	7431	20401
1335	7432	20385
1336	7439	20380
1337	7441	20366
1338	7443	20351
1339	7445	20336
1340	7447	20320
1341	7449	20304
1342	7455	20301
1343	7462	20298
1344	7464	20284
1345	7467	20271
1346	7473	20267
1347	7475	20251
1348	7477	20236
1349	7478	20220
1350	7480	20204
1351	7482	20190
1352	7489	20188
1353	7492	20174
1354	7494	20159
1355	7495	20143
1356	7498	20129
1357	7502	20119
1358	7508	20117
1359	7513	20109
1360	7522	20113
1361	7528	20108
1362	7536	20110
1363	7543	20107
1364	7548	20100
1365	7560	20114
1366	7568	20114
1367	7572	20105
1368	7575	20092
1369	7577	20077
1370	7579	20061
1371	7585	20058
1372	7589	20049
1373	7593	20038
1374	7595	20023
1375	7598	20013
1376	7603	20005
1377	7606	19992
1378	7608	19978
1379	7610	19963
1380	7612	19950
1381	7618	19944
1382	7621	19933
1383	7623	19918
1384	7625	19902
1385	7626	19887
1386	7631	19878
1387	7637	19874
1388	7639	19860
1389	7641	19846
1390	7644	19833
1391	7651	19831
1392	7655	19823
1393	7657	19807
1394	7659	19793
1395	7665	19788
1396	7669	19781
1397	7671	19766
1398	7673	19752
1399	7676	19738
1400	7682	19735
1401	7686	19725
1402	7688	19710
1403	7689	19695
1404	7691	19681
1405	7695	19671
1406	7700	19665
1407	7703	19651
1408	7704	19636
1409	7706	19621
1410	7709	19609
1411	7716	19607
1412	7718	19593
1413	7720	19579
1414	7722	19564
1415	7724	19550
1416	7729	19545
1417	7733	19536
1418	7735	19521
1419	7737	19507
1420	7739	19493
1421	7743	19483
1422	7751	19485
1423	7753	19471
1424	7755	19457
1425	7762	19455
1426	7766	19445
1427	7768	19432
1428	7770	19417
1429	7772	19405
1430	7779	19402
1431	7782	19391
1432	7785	19380
1433	7787	19366
1434	7791	19356
1435	7796	19350
1436	7799	19339
1437	7801	19324
1438	7803	19310
1439	7806	19298
1440	7812	19296
1441	7815	19283
1442	7817	19269
1443	7818	19254
1444	7821	19243
1445	7827	19237
1446	7831	19230
1447	7833	19215
1448	7835	19201
1449	7838	19189
1450	7845	19189
1451	7848	19178
1452	7850	19164
1453	7852	19150
1454	7857	19145
1455	7863	19139
1456	7865	19127
1457	7867	19113
1458	7872	19107
1459	7877	19101
1460	7880	19087
1461	7974	19297
1462	8140	19679
1463	8158	19704
1464	8163	19698
1465	8169	19692
1466	8177	19694
1467	8181	19685
1468	8188	19682
1469	8195	19681
1470	8200	19673
1471	8208	19673
1472	8213	19667
1473	8223	19670
1474	8228	19665
1475	8233	19657
1476	8246	19669
1477	8257	19678
1478	8297	19753
1479	8377	19925
1480	8410	19983
1481	8416	19979
1482	8425	19980
1483	8430	19973
1484	8438	19974
1485	8444	19969
1486	8446	19955
1487	8449	19942
1488	8455	19938
1489	8460	19930
1490	8462	19915
1491	8464	19900
1492	8469	19894
1493	8474	19887
1494	8476	19873
1495	8479	19860
1496	8481	19847
1497	8487	19841
1498	8490	19830
1499	8492	19816
1500	8494	19801
1501	8496	19787
1502	8502	19782
1503	8506	19773
1504	8508	19759
1505	8510	19745
1506	8512	19731
1507	8518	19726
1508	8523	19718
1509	8524	19702
1510	8526	19688
1511	8528	19674
1512	8533	19666
1513	8539	19661
1514	8542	19650
1515	8544	19637
1516	8550	19630
1517	8555	19624
1518	8557	19611
1519	8559	19596
1520	8562	19584
1521	8567	19578
1522	8571	19568
1523	8572	19553
1524	8575	19540
1525	8577	19526
1526	8582	19519
1527	8586	19511
1528	8589	19498
1529	8591	19484
1530	8592	19470
1531	8596	19459
1532	8601	19453
1533	8604	19441
1534	8606	19427
1535	8608	19413
1536	8611	19402
1537	8618	19400
1538	8621	19389
1539	8623	19374
1540	8625	19361
1541	8632	19359
1542	8637	19350
1543	8638	19336
1544	8641	19324
1545	8648	19323
